id,subscription_info_id,user_id,subscription_start,subscription_end,deactivated_at,deactivated_by_id
6,1,8794,19/5/2017 15:55,19/8/2017 15:55,,
7,1,9406,19/5/2017 15:55,19/8/2017 15:55,,
11,3,7727,23/5/2017 09:23,24/5/2018 09:23,,
13,2,8870,23/5/2017 16:51,23/11/2017 16:51,,
17,1,14870,23/5/2017 16:51,23/8/2017 16:51,,
18,2,8720,24/5/2017 16:28,24/11/2017 16:28,,
19,1,8923,24/5/2017 16:28,24/8/2017 16:28,,
24,1,9156,26/5/2017 19:11,26/8/2017 19:11,,
25,1,9500,26/5/2017 19:11,26/8/2017 19:11,,
32,2,9316,27/5/2017 16:39,27/11/2017 16:39,,
34,1,15851,29/5/2017 18:29,29/8/2017 18:29,,
47,1,7927,9/6/2017 17:03,9/9/2017 17:03,,
51,1,7661,16/6/2017 19:39,16/9/2017 19:39,,
52,3,9103,16/6/2017 19:39,17/6/2018 19:39,,
56,1,8794,19/8/2017 15:55,19/11/2017 15:55,,
64,1,8955,16/7/2017 18:26,16/10/2017 18:26,,
66,1,9629,22/7/2017 17:00,22/10/2017 17:00,,
69,1,15393,4/8/2017 19:45,4/11/2017 19:45,,
75,1,9406,24/8/2017 16:57,24/11/2017 16:57,,
77,1,18097,25/8/2017 17:11,25/11/2017 17:11,,
79,1,8923,29/8/2017 17:09,29/11/2017 17:09,,
84,1,15851,2/9/2017 16:46,3/12/2017 16:46,,
87,2,9156,7/9/2017 16:42,10/3/2018 16:42,,
95,1,7927,16/9/2017 16:49,17/12/2017 16:49,,
97,1,7661,20/9/2017 17:14,21/12/2017 17:14,,
111,1,18744,9/10/2017 20:29,9/1/2018 20:29,,
115,1,9500,16/10/2017 19:58,16/1/2018 19:58,,
116,1,14817,17/10/2017 19:53,17/1/2018 19:53,,
118,1,8955,20/10/2017 16:42,20/1/2018 16:42,,
122,1,9629,28/10/2017 19:25,28/1/2018 19:25,,
125,1,15099,2/11/2017 21:13,2/2/2018 21:13,,
126,1,15393,6/11/2017 20:49,6/2/2018 20:49,,
133,1,8794,20/11/2017 18:10,20/2/2018 18:10,,
139,1,9406,30/11/2017 17:12,2/3/2018 17:12,,
140,1,18097,30/11/2017 17:12,2/3/2018 17:12,,
141,2,9316,1/12/2017 20:15,3/6/2018 20:15,,
144,2,8142,5/12/2017 20:38,7/6/2018 20:38,,
147,1,7916,5/12/2017 20:38,7/3/2018 20:38,,
153,1,8923,6/12/2017 19:12,8/3/2018 19:12,,
157,1,19115,6/12/2017 19:21,8/3/2018 19:21,,
159,1,20482,7/12/2017 17:06,9/3/2018 17:06,,
162,1,20365,8/12/2017 18:31,10/3/2018 18:31,,
164,1,20006,8/12/2017 18:31,10/3/2018 18:31,,
168,1,15118,9/12/2017 18:54,11/3/2018 18:54,,
170,2,9236,9/12/2017 18:55,11/6/2018 18:55,,
171,1,18263,10/12/2017 18:03,12/3/2018 18:03,,
176,1,8870,12/12/2017 15:22,14/3/2018 15:22,,
178,1,20311,13/12/2017 18:57,15/3/2018 18:57,,
179,1,7680,15/12/2017 17:16,17/3/2018 17:16,,
191,1,7661,26/12/2017 09:28,28/3/2018 09:28,,
197,3,9059,31/12/2017 15:20,1/1/2019 15:20,,
201,3,7544,2/1/2018 19:30,3/1/2019 19:30,,
210,1,15851,9/1/2018 17:21,11/4/2018 17:21,,
212,1,11364,10/1/2018 17:13,12/4/2018 17:13,,
213,1,21487,11/1/2018 18:30,13/4/2018 18:30,,
216,1,7634,12/1/2018 13:02,14/4/2018 13:02,,
224,2,16013,17/1/2018 17:06,20/7/2018 17:06,,
226,1,11584,18/1/2018 18:56,20/4/2018 18:56,,
237,3,9336,22/1/2018 14:46,23/1/2019 14:46,,
240,1,21284,22/1/2018 18:18,24/4/2018 18:18,,
241,1,20968,23/1/2018 11:25,25/4/2018 11:25,,
243,1,21545,23/1/2018 17:40,25/4/2018 17:40,,
246,1,8955,25/1/2018 15:08,27/4/2018 15:08,,
247,1,9500,25/1/2018 17:27,27/4/2018 17:27,,
252,1,16732,29/1/2018 17:11,1/5/2018 17:11,,
253,1,9406,2/3/2018 17:12,2/6/2018 17:12,,
256,1,18744,31/1/2018 13:03,3/5/2018 13:03,,
262,1,16263,2/2/2018 17:26,5/5/2018 17:26,,
264,1,11299,3/2/2018 12:37,6/5/2018 12:37,,
269,1,15099,6/2/2018 17:17,9/5/2018 17:17,,
276,1,9629,14/2/2018 16:50,17/5/2018 16:50,,
278,1,15393,18/2/2018 16:39,21/5/2018 16:39,,
280,1,8794,21/2/2018 14:42,24/5/2018 14:42,,
289,3,21899,26/2/2018 18:03,27/2/2019 18:03,,
290,1,9610,26/2/2018 19:07,29/5/2018 19:07,,
294,1,20392,2/3/2018 20:25,2/6/2018 20:25,,
298,1,8822,5/3/2018 17:59,5/6/2018 17:59,,
299,1,8506,6/3/2018 12:53,6/6/2018 12:53,,
300,1,18097,6/3/2018 17:11,6/6/2018 17:11,,
304,1,9316,3/6/2018 20:15,3/9/2018 20:15,,
305,1,19115,12/3/2018 17:42,12/6/2018 17:42,,
306,1,8923,12/3/2018 18:51,12/6/2018 18:51,,
310,1,18263,14/3/2018 20:08,14/6/2018 20:08,,
312,1,9156,15/3/2018 13:22,15/6/2018 13:22,,
318,1,8870,19/3/2018 11:57,19/6/2018 11:57,,
321,1,20311,20/3/2018 19:06,20/6/2018 19:06,,
323,1,20365,21/3/2018 18:06,21/6/2018 18:06,,
353,1,7661,10/4/2018 11:15,11/7/2018 11:15,,
354,1,9316,3/9/2018 20:15,4/12/2018 20:15,,
356,1,10789,12/4/2018 11:17,13/7/2018 11:17,,
358,1,7916,14/4/2018 15:49,15/7/2018 15:49,,
366,1,21487,25/4/2018 12:44,26/7/2018 12:44,,
370,1,8955,29/4/2018 13:26,30/7/2018 13:26,,
372,1,16263,5/5/2018 17:26,5/8/2018 17:26,,
374,1,21284,2/5/2018 17:49,2/8/2018 17:49,,
378,1,21545,4/5/2018 18:03,4/8/2018 18:03,,
381,1,18744,7/5/2018 11:10,7/8/2018 11:10,,
382,1,16732,9/5/2018 11:30,9/8/2018 11:30,,
390,1,15099,17/5/2018 16:49,17/8/2018 16:49,,
391,1,9629,18/5/2018 19:27,18/8/2018 19:27,,
394,1,24392,23/5/2018 13:51,23/8/2018 13:51,,
397,3,18609,28/5/2018 13:25,29/5/2019 13:25,,
399,1,8794,29/5/2018 13:25,29/8/2018 13:25,,
400,1,15851,29/5/2018 14:02,29/8/2018 14:02,,
401,3,7727,29/5/2018 15:53,30/5/2019 15:53,,
413,1,9610,4/6/2018 16:01,4/9/2018 16:01,,
414,1,20392,5/6/2018 12:11,5/9/2018 12:11,,
416,1,18593,6/6/2018 15:54,6/9/2018 15:54,,
418,1,19456,10/6/2018 18:44,10/9/2018 18:44,,
420,1,11584,11/6/2018 12:10,11/9/2018 12:10,,
423,1,18097,13/6/2018 19:23,13/9/2018 19:23,,
426,1,19115,19/6/2018 17:47,19/9/2018 17:47,,
427,1,18263,19/6/2018 18:57,19/9/2018 18:57,,
428,2,9156,20/6/2018 10:43,21/12/2018 10:43,,
431,1,9277,22/6/2018 13:34,22/9/2018 13:34,,
434,3,9103,24/6/2018 11:09,25/6/2019 11:09,,
435,1,8870,25/6/2018 10:41,25/9/2018 10:41,,
440,2,9236,29/6/2018 14:04,30/12/2018 14:04,,
445,1,8923,4/7/2018 11:21,4/10/2018 11:21,,
446,1,25390,4/7/2018 11:49,4/10/2018 11:49,,
450,1,9726,6/7/2018 18:34,6/10/2018 18:34,,
458,1,20365,15/7/2018 10:50,15/10/2018 10:50,,
459,1,7661,15/7/2018 16:59,15/10/2018 16:59,,
460,1,9406,16/7/2018 16:34,16/10/2018 16:34,,
463,1,20968,19/7/2018 09:42,19/10/2018 09:42,,
465,1,10789,20/7/2018 11:16,20/10/2018 11:16,,
471,1,8955,2/8/2018 16:15,2/11/2018 16:15,,
476,1,16732,10/8/2018 13:13,10/11/2018 13:13,,
477,1,26614,12/8/2018 15:30,12/11/2018 15:30,,
480,1,9500,14/8/2018 12:42,14/11/2018 12:42,,
483,1,16013,17/8/2018 16:50,17/11/2018 16:50,,
487,1,9629,26/8/2018 10:48,26/11/2018 10:48,,
492,1,21207,3/9/2018 11:33,4/12/2018 11:33,,
495,1,10803,7/9/2018 16:16,8/12/2018 16:16,,
500,1,19456,11/9/2018 16:18,12/12/2018 16:18,,
503,1,9610,14/9/2018 11:12,15/12/2018 11:12,,
504,1,18593,15/9/2018 16:37,16/12/2018 16:37,,
512,1,18097,21/9/2018 18:54,22/12/2018 18:54,,
514,1,20392,22/9/2018 16:55,23/12/2018 16:55,,
516,2,18263,24/9/2018 12:32,27/3/2019 12:32,,
518,1,16263,27/9/2018 10:55,28/12/2018 10:55,,
523,1,8870,2/10/2018 12:37,2/1/2019 12:37,,
524,1,26023,3/10/2018 16:01,3/1/2019 16:01,,
526,1,9277,6/10/2018 15:53,6/1/2019 15:53,,
531,1,11299,10/10/2018 16:27,10/1/2019 16:27,,
534,1,8923,12/10/2018 16:59,12/1/2019 16:59,,
541,1,7661,20/10/2018 10:32,20/1/2019 10:32,,
553,1,20365,25/10/2018 18:21,25/1/2019 18:21,,
555,1,10789,26/10/2018 17:23,26/1/2019 17:23,,
560,1,9406,30/10/2018 17:14,30/1/2019 17:14,,
562,1,7589,5/11/2018 12:55,5/2/2019 12:55,,
564,1,15099,8/11/2018 17:31,8/2/2019 17:31,,
567,1,16732,14/11/2018 13:20,14/2/2019 13:20,,
568,1,21545,14/11/2018 19:35,14/2/2019 19:35,,
569,1,19115,15/11/2018 13:18,15/2/2019 13:18,,
571,1,26614,16/11/2018 19:20,16/2/2019 19:20,,
582,1,28443,25/11/2018 12:26,25/2/2019 12:26,,
583,1,8955,26/11/2018 17:55,26/2/2019 17:55,,
584,1,21284,26/11/2018 18:11,26/2/2019 18:11,,
586,1,8911,28/11/2018 16:49,28/2/2019 16:49,,
591,1,27604,3/12/2018 17:01,5/3/2019 17:01,,
592,1,9629,5/12/2018 19:02,7/3/2019 19:02,,
593,1,27831,6/12/2018 17:01,8/3/2019 17:01,,
599,1,11584,10/12/2018 19:08,12/3/2019 19:08,,
601,1,24392,11/12/2018 19:28,13/3/2019 19:28,,
602,2,28081,12/12/2018 19:23,14/6/2019 19:23,,
603,1,9500,13/12/2018 13:09,15/3/2019 13:09,,
604,1,19456,13/12/2018 17:02,15/3/2019 17:02,,
606,1,28503,16/12/2018 13:19,18/3/2019 13:19,,
609,1,18593,17/12/2018 15:57,19/3/2019 15:57,,
611,1,8454,18/12/2018 12:23,20/3/2019 12:23,,
618,1,20392,30/12/2018 15:19,1/4/2019 15:19,,
619,1,9156,30/12/2018 18:09,1/4/2019 18:09,,
620,1,26023,3/1/2019 16:01,5/4/2019 16:01,,
622,1,9610,2/1/2019 14:26,4/4/2019 14:26,,
624,1,15633,3/1/2019 12:52,5/4/2019 12:52,,
628,1,16263,5/1/2019 16:53,7/4/2019 16:53,,
630,1,23989,5/1/2019 18:26,7/4/2019 18:26,,
632,1,18097,6/1/2019 18:33,8/4/2019 18:33,,
633,1,28742,7/1/2019 17:35,9/4/2019 17:35,,
635,1,21207,9/1/2019 12:10,11/4/2019 12:10,,
639,1,28827,10/1/2019 17:25,12/4/2019 17:25,,
644,1,9277,13/1/2019 12:39,15/4/2019 12:39,,
646,3,7544,13/1/2019 17:36,14/1/2020 17:36,,
647,1,8923,14/1/2019 14:00,16/4/2019 14:00,,
657,1,8822,22/1/2019 14:29,24/4/2019 14:29,,
662,2,11332,24/1/2019 09:46,27/7/2019 09:46,,
664,2,11386,24/1/2019 11:55,27/7/2019 11:55,,
665,3,28950,24/1/2019 12:29,25/1/2020 12:29,,
670,3,7545,24/1/2019 15:04,25/1/2020 15:04,,
672,1,7661,24/1/2019 16:33,26/4/2019 16:33,,
673,2,9316,24/1/2019 17:58,27/7/2019 17:58,,
678,3,9271,25/1/2019 12:34,26/1/2020 12:34,,
681,1,10158,25/1/2019 17:44,27/4/2019 17:44,,
684,2,10005,25/1/2019 19:47,28/7/2019 19:47,,
685,1,28277,25/1/2019 19:51,27/4/2019 19:51,,
687,2,29696,26/1/2019 12:16,29/7/2019 12:16,,
688,3,8794,26/1/2019 12:26,27/1/2020 12:26,,
691,1,9027,26/1/2019 12:57,28/4/2019 12:57,,
696,1,29792,26/1/2019 13:51,28/4/2019 13:51,,
697,2,29657,26/1/2019 14:12,29/7/2019 14:12,,
702,3,11279,26/1/2019 18:11,27/1/2020 18:11,,
703,3,9336,26/1/2019 18:57,27/1/2020 18:57,,
706,2,8142,27/1/2019 17:11,30/7/2019 17:11,,
708,1,8870,28/1/2019 13:18,30/4/2019 13:18,,
711,2,10789,28/1/2019 15:01,31/7/2019 15:01,,
712,2,21284,26/2/2019 18:11,29/8/2019 18:11,,
723,3,10940,31/1/2019 13:36,1/2/2020 13:36,,
724,2,17556,31/1/2019 13:57,3/8/2019 13:57,,
725,1,9888,31/1/2019 18:10,3/5/2019 18:10,,
726,1,15099,8/2/2019 17:31,11/5/2019 17:31,,
728,3,8955,26/2/2019 17:55,27/2/2020 17:55,,
732,1,20365,3/2/2019 12:11,6/5/2019 12:11,,
736,2,29434,5/2/2019 13:24,8/8/2019 13:24,,
747,1,8720,9/2/2019 13:50,12/5/2019 13:50,,
748,2,9236,10/2/2019 15:45,13/8/2019 15:45,,
750,3,29563,11/2/2019 12:18,12/2/2020 12:18,,
753,1,31128,12/2/2019 12:32,15/5/2019 12:32,,
754,2,9406,12/2/2019 12:59,15/8/2019 12:59,,
755,1,29953,12/2/2019 19:25,15/5/2019 19:25,,
757,1,20311,15/2/2019 17:26,18/5/2019 17:26,,
758,2,31323,16/2/2019 15:47,19/8/2019 15:47,,
759,1,29762,17/2/2019 12:27,20/5/2019 12:27,,
761,2,21545,18/2/2019 17:43,21/8/2019 17:43,,
762,2,22506,18/2/2019 18:42,21/8/2019 18:42,,
764,1,19115,20/2/2019 12:32,23/5/2019 12:32,,
766,3,9059,21/2/2019 11:10,22/2/2020 11:10,,
767,1,30960,21/2/2019 11:54,24/5/2019 11:54,,
769,1,28443,25/2/2019 12:26,28/5/2019 12:26,,
773,2,26284,23/2/2019 11:53,26/8/2019 11:53,,
775,1,26614,24/2/2019 12:30,27/5/2019 12:30,,
777,1,16732,24/2/2019 16:01,27/5/2019 16:01,,
779,1,26023,5/4/2019 16:01,6/7/2019 16:01,,
785,1,29598,6/3/2019 16:57,6/6/2019 16:57,,
788,1,9629,12/3/2019 19:14,12/6/2019 19:14,,
789,1,24392,14/3/2019 11:37,14/6/2019 11:37,,
793,1,27604,20/3/2019 15:29,20/6/2019 15:29,,
794,1,19456,20/3/2019 17:56,20/6/2019 17:56,,
795,1,9500,21/3/2019 11:04,21/6/2019 11:04,,
798,1,11584,22/3/2019 19:07,22/6/2019 19:07,,
799,1,18593,24/3/2019 10:57,24/6/2019 10:57,,
801,2,28503,27/3/2019 18:20,27/9/2019 18:20,,
804,1,20392,4/4/2019 16:19,5/7/2019 16:19,,
806,1,16263,7/4/2019 16:53,8/7/2019 16:53,,
807,1,9610,5/4/2019 09:47,6/7/2019 09:47,,
814,3,24273,8/4/2019 18:48,8/4/2020 18:48,,
816,1,15633,9/4/2019 13:32,10/7/2019 13:32,,
820,1,21207,17/4/2019 10:24,18/7/2019 10:24,,
827,2,8923,26/4/2019 10:57,27/10/2019 10:57,,
829,1,7661,27/4/2019 14:50,28/7/2019 14:50,,
830,1,28277,29/4/2019 16:55,30/7/2019 16:55,,
832,1,33572,3/5/2019 18:24,3/8/2019 18:24,,
837,1,20365,7/5/2019 19:17,7/8/2019 19:17,,
846,1,15099,13/5/2019 18:18,13/8/2019 18:18,,
848,1,11709,17/5/2019 09:49,17/8/2019 09:49,,
849,1,26023,6/7/2019 16:01,6/10/2019 16:01,,
851,1,20311,21/5/2019 08:08,21/8/2019 08:08,,
853,1,32083,22/5/2019 14:27,22/8/2019 14:27,,
855,1,19115,24/5/2019 19:41,24/8/2019 19:41,,
856,1,29953,25/5/2019 19:19,25/8/2019 19:19,,
858,1,31128,28/5/2019 19:20,28/8/2019 19:20,,
860,1,26614,29/5/2019 19:34,29/8/2019 19:34,,
861,1,28443,1/6/2019 08:27,1/9/2019 08:27,,
862,1,16732,1/6/2019 09:04,1/9/2019 09:04,,
868,1,9888,5/6/2019 18:32,5/9/2019 18:32,,
871,1,9277,8/6/2019 09:13,8/9/2019 09:13,,
872,1,29598,9/6/2019 20:04,9/9/2019 20:04,,
873,1,24392,15/6/2019 12:50,15/9/2019 12:50,,
877,1,9629,17/6/2019 07:49,17/9/2019 07:49,,
878,3,18609,17/6/2019 08:15,17/6/2020 08:15,,
880,1,34635,22/6/2019 18:22,22/9/2019 18:22,,
882,1,19456,24/6/2019 11:58,24/9/2019 11:58,,
884,1,18593,26/6/2019 18:26,26/9/2019 18:26,,
889,1,9500,2/7/2019 16:23,2/10/2019 16:23,,
893,2,29696,29/7/2019 12:16,29/1/2020 12:16,,
895,2,26614,29/8/2019 19:34,29/2/2020 19:34,,
896,2,28081,3/7/2019 18:45,3/1/2020 18:45,,
898,2,9277,8/9/2019 09:13,10/3/2020 09:13,,
899,2,16732,1/9/2019 09:04,3/3/2020 09:04,,
904,2,11591,4/7/2019 16:14,4/1/2020 16:14,,
910,2,11695,4/7/2019 19:23,4/1/2020 19:23,,
911,2,10005,28/7/2019 19:47,28/1/2020 19:47,,
912,2,9629,17/9/2019 07:49,19/3/2020 07:49,,
914,2,11648,5/7/2019 09:30,5/1/2020 09:30,,
915,2,18097,5/7/2019 09:49,5/1/2020 09:49,,
916,2,8821,5/7/2019 10:06,5/1/2020 10:06,,
917,2,9271,26/1/2020 12:34,28/7/2020 12:34,,
919,2,8822,5/7/2019 13:02,5/1/2020 13:02,,
924,2,7529,5/7/2019 18:01,5/1/2020 18:01,,
925,2,17721,5/7/2019 18:12,5/1/2020 18:12,,
927,2,31363,5/7/2019 19:06,5/1/2020 19:06,,
929,2,28503,27/9/2019 18:20,29/3/2020 18:20,,
930,2,8454,6/7/2019 08:41,6/1/2020 08:41,,
937,2,22977,6/7/2019 16:04,6/1/2020 16:04,,
939,2,13430,7/7/2019 08:12,7/1/2020 08:12,,
942,2,7927,7/7/2019 11:48,7/1/2020 11:48,,
943,2,8794,27/1/2020 12:26,29/7/2020 12:26,,
