id,created_at,is_active,marked_as_signal_by_id,order_id,problem_id,product_code,quantity,user_id
34979,6/1/2023 21:19,1,,2271130,21,,,96170
35041,8/1/2023 17:44,0,,2277975,8,902066,1,128513
35042,8/1/2023 17:44,0,,2277975,8,500375,1,128513
35049,8/1/2023 19:56,1,,2278109,31,902987,1,128513
35091,10/1/2023 11:15,1,,2280518,3,002025,1,143615
35280,14/1/2023 12:18,1,,2291816,1,903035,1.006,152687
35281,14/1/2023 12:18,1,319395,2291816,1,907025,1.134,152687
35418,17/1/2023 14:07,1,,2300675,1,509008,0.93,123348
35454,18/1/2023 13:24,1,,2302517,12,904278,1,128513
35639,22/1/2023 08:58,1,,2312194,3,906409,1,123348
35648,22/1/2023 11:59,1,,2312562,33,102966,1,123348
35822,25/1/2023 11:05,1,,2318906,1,503397,1.168,152687
35823,25/1/2023 11:05,1,,2318906,1,506885,2.968,152687
35824,25/1/2023 11:05,1,,2318906,1,004601,1.55,152687
35825,25/1/2023 11:05,0,,2318906,1,503397,1.168,152687
35826,25/1/2023 11:05,0,,2318906,1,506885,2.968,152687
35827,25/1/2023 11:05,0,,2318906,1,004601,1.55,152687
35870,26/1/2023 14:38,1,,2322970,3,023071,1,98101
35886,26/1/2023 19:59,1,,2324368,32,P4123,1,123348
35908,27/1/2023 10:23,1,,2324516,31,139516,1,152687
35989,28/1/2023 13:26,1,,2329078,1,402159,1.09,143615
36139,31/1/2023 13:36,1,,2334439,1,000239,1,152687
36192,1/2/2023 16:50,1,,2340081,39,,,96170
36214,2/2/2023 13:01,1,,2342387,37,,,98101
36266,3/2/2023 09:51,1,,2344575,37,,,150003
36284,3/2/2023 15:58,1,,2346293,21,,,123348
36292,3/2/2023 19:49,0,,2345627,1,507653,1,123348
36293,3/2/2023 19:49,1,,2345627,1,507653,1,123348
36339,4/2/2023 20:45,1,,2348521,8,509681,1,128513
36421,6/2/2023 10:39,1,,2352568,41,,,98101
36425,6/2/2023 10:58,1,,2351810,13,504373,1,150003
36488,7/2/2023 10:49,1,,2356262,39,,,128513
36609,8/2/2023 20:51,1,,2360571,1,189046,1,152687
36628,9/2/2023 08:42,0,,2360571,1,189046,1,143615
36631,9/2/2023 09:00,1,,2359257,33,012004,6,128513
36644,9/2/2023 13:25,1,,2347092,2,905125,1,128513
36650,9/2/2023 14:45,1,,2362735,20,,,143615
36657,9/2/2023 16:04,1,,2362876,3,504438,1,128513
36750,11/2/2023 17:42,1,,2369038,21,,,96170
36847,13/2/2023 13:40,1,,2373957,13,000236,0.91,128513
36896,14/2/2023 10:33,1,,2374590,13,505825,1,128513
37113,19/2/2023 18:26,1,,2390402,3,108522,1,143615
37328,25/2/2023 08:08,1,,2402671,8,039116,3,98101
37329,25/2/2023 08:08,1,,2402671,8,907781,1,98101
