id,created_at,is_by_new_user,last_payment_total_price,last_payment_total_price_eur,total_pharmacy,total_pharmacy_eur,user_id,status_finished_at,shipping_date,time_slot_start,time_slot_end
2261855,1/1/2023 13:34,0,99.72,50.98,0,0,144293,2/1/2023 13:45,2/1/2023,1300,1400
2263004,2/1/2023 10:58,0,68.01,34.77,0,0,41722,2/1/2023 15:51,2/1/2023,1500,1600
2261863,1/1/2023 13:45,0,44.96,22.99,0,0,93700,2/1/2023 11:19,2/1/2023,1100,1200
2263743,2/1/2023 15:00,0,69.88,35.73,0,0,154231,2/1/2023 22:00,2/1/2023,2100,2200
2259756,30/12/2022 19:39,0,133.93,68.47,0,0,27750,3/1/2023 07:58,2/1/2023,2200,2300
2263400,2/1/2023 12:57,0,100.7,51.48,0,0,107314,2/1/2023 18:18,2/1/2023,1800,1900
2263206,2/1/2023 11:55,0,73.13,37.39,0,0,122158,2/1/2023 17:19,2/1/2023,1700,1800
2261925,1/1/2023 15:16,0,163.73,83.71,0,0,78706,2/1/2023 17:48,2/1/2023,1900,2000
2265254,3/1/2023 11:27,0,325,166.17,0,0,18480,3/1/2023 15:12,3/1/2023,1500,1600
2265321,3/1/2023 11:45,0,187.37,95.8,0,0,42448,3/1/2023 15:59,3/1/2023,1600,1700
2264793,3/1/2023 09:06,0,86.14,44.05,0,0,91675,3/1/2023 12:07,3/1/2023,1200,1300
2265571,3/1/2023 12:51,0,79.65,40.72,0,0,39415,3/1/2023 18:59,3/1/2023,1800,1900
2265673,3/1/2023 13:19,0,130.16,66.55,0,0,54502,3/1/2023 16:58,3/1/2023,1700,1800
2264511,2/1/2023 23:07,0,100.43,51.35,0,0,31911,3/1/2023 11:03,3/1/2023,1100,1200
2264677,3/1/2023 07:52,0,96.32,49.25,0,0,41357,3/1/2023 12:31,3/1/2023,1200,1300
2265511,3/1/2023 12:36,0,188.54,96.4,0,0,102062,3/1/2023 16:12,3/1/2023,1600,1700
2261850,1/1/2023 13:19,0,234.64,119.97,0,0,26078,3/1/2023 10:54,3/1/2023,1100,1200
2266271,3/1/2023 16:25,0,78.02,39.89,0,0,100226,3/1/2023 21:29,3/1/2023,2100,2200
2264542,2/1/2023 23:41,0,157.3,80.43,0,0,82106,3/1/2023 11:21,3/1/2023,1100,1200
2265123,3/1/2023 10:51,0,61.03,31.2,0,0,51957,3/1/2023 14:13,3/1/2023,1400,1500
2265162,3/1/2023 11:02,0,45.66,23.34,0,0,98512,3/1/2023 14:41,3/1/2023,1400,1500
2265858,3/1/2023 14:13,0,164.36,84.04,0,0,18702,3/1/2023 17:58,3/1/2023,1800,1900
2265286,3/1/2023 11:34,0,46.58,23.82,0,0,49211,3/1/2023 15:24,3/1/2023,1500,1600
2265768,3/1/2023 13:49,0,146.2,74.75,0,0,32259,3/1/2023 19:25,3/1/2023,1900,2000
2264813,3/1/2023 09:12,0,34.47,17.62,0,0,10518,3/1/2023 12:27,3/1/2023,1300,1400
2263989,2/1/2023 16:57,0,40.69,20.8,0,0,142106,3/1/2023 08:46,3/1/2023,800,900
2264953,3/1/2023 10:04,0,104.31,53.34,0,0,111090,3/1/2023 19:23,3/1/2023,1900,2000
2268102,4/1/2023 13:20,0,57.19,29.24,0,0,14260,4/1/2023 19:05,4/1/2023,1900,2000
2268483,4/1/2023 15:09,0,92.08,47.08,0,0,16588,4/1/2023 19:32,4/1/2023,1900,2000
2267903,4/1/2023 12:21,0,69.15,35.36,0,0,76744,4/1/2023 17:16,4/1/2023,1700,1800
2267447,4/1/2023 10:25,0,155.67,79.59,0,0,100761,4/1/2023 14:25,4/1/2023,1400,1500
2268785,4/1/2023 17:01,0,55.05,28.15,0,0,16822,4/1/2023 21:28,4/1/2023,2200,2300
2268437,4/1/2023 14:55,0,30.22,15.45,0,0,45582,4/1/2023 19:40,4/1/2023,1900,2000
2266460,3/1/2023 17:43,0,109.15,55.81,0,0,150025,4/1/2023 11:05,4/1/2023,1100,1200
2267252,4/1/2023 09:11,0,68.7,35.12,0,0,46983,4/1/2023 13:45,4/1/2023,1300,1400
2268251,4/1/2023 14:00,0,127.32,65.1,0,0,79013,4/1/2023 19:25,4/1/2023,1900,2000
2266773,3/1/2023 21:23,1,98.96,50.6,0,0,167937,4/1/2023 10:22,4/1/2023,1000,1100
2267873,4/1/2023 12:11,0,76.18,38.95,0,0,13084,4/1/2023 16:49,4/1/2023,1600,1700
2267908,4/1/2023 12:23,0,43.81,22.4,0,0,155019,4/1/2023 16:10,4/1/2023,1600,1700
2266714,3/1/2023 20:34,0,38.94,19.91,0,0,31943,4/1/2023 19:55,4/1/2023,2000,2100
